date,S,I,R,susceptible,infected,recovered,cases,forecast
2020-03-11,206153.63988251562,2731.6948226061145,333.68663896278025,206348.02134408453,2584.0,287.0,2871.0,3065.381461568895
2020-03-12,204846.89235910383,3894.590166997511,477.538817983154,205056.02134408453,3840.0,323.0,4163.0,4372.128984980665
2020-03-13,203000.9539155951,5535.748540822771,682.3188876666541,203326.02134408453,5208.0,685.0,5893.0,6218.067428489425
2020-03-14,200411.23658718367,7835.0134555945815,972.7713013063296,201494.02134408453,6877.0,848.0,7725.0,8807.784756900912
2020-03-15,196812.90793929348,11023.475299418662,1382.638105372416,199956.02134408453,8374.0,889.0,9263.0,12406.113404791078
2020-03-16,194568.3810579493,12747.483705449922,1903.156580685348,198021.02134408453,9616.0,1582.0,11198.0,14650.64028613527
2020-03-17,192007.67771284797,14706.961680336404,2504.3819509002087,195503.02134408453,11966.0,1750.0,13716.0,17211.343631236614
2020-03-18,189099.02063563387,16922.893527465632,3197.107180985068,192072.02134408453,15172.0,1975.0,17147.0,20120.0007084507
2020-03-19,185811.48070814996,19414.528540884505,3993.0120950500873,189239.02134408453,17445.0,2535.0,19980.0,23407.54063593459
2020-03-20,182116.430714124,22198.03207245826,4904.55855750233,184293.02134408453,21469.0,3457.0,24926.0,27102.59062996059
2020-03-21,177989.307792697,25284.89235607326,5944.821195314318,180305.02134408453,24570.0,4344.0,28914.0,31229.713551387576
2020-03-22,173411.6385444325,28680.139164319033,7127.243635333059,176308.02134408453,27635.0,5276.0,32911.0,35807.38279965209
2020-03-23,168373.22445046488,32380.48244000365,8465.314453616038,169546.02134408453,33269.0,6404.0,39673.0,40845.796893619685
2020-03-24,162874.32685914502,36372.53196911602,9972.162515823535,161609.02134408453,39253.0,8357.0,47610.0,46344.69448493955
2020-03-25,156927.63249744292,40631.30901035448,11660.079836287181,153031.02134408453,45944.0,10244.0,56188.0,52291.38884664166
2020-03-26,150559.74133729722,45119.290157846415,13539.989848940977,145160.02134408453,50905.0,13154.0,64059.0,58659.28000678739
2020-03-27,143811.90555010486,49786.22579875102,15620.889995228736,136971.02134408453,55850.0,16398.0,72248.0,65407.115793979756
